"Elapsed Time", "Heartrate"
0, 0
1000, 0
2000, 94
3000, 95
4000, 95
5000, 95
6000, 95
7000, 96
8000, 97
9000, 97
10000, 98
11000, 98
12000, 98
13000, 98
14000, 98
15000, 98
16000, 97
17000, 96
18000, 95
19000, 95
20000, 95
21000, 95
22000, 96
23000, 97
24000, 100
25000, 102
26000, 104
27000, 104
28000, 106
29000, 106
30000, 107
31000, 107
32000, 107
33000, 107
34000, 107
35000, 107
36000, 107
37000, 107
38000, 107
39000, 107
40000, 107
41000, 107
42000, 108
43000, 109
44000, 109
45000, 110
46000, 110
47000, 110
48000, 110
49000, 110
50000, 110
51000, 110
52000, 111
53000, 111
54000, 111
55000, 111
56000, 111
57000, 111
58000, 112
59000, 112
60000, 112
61000, 112
62000, 112
63000, 112
64000, 112
65000, 112
66000, 112
67000, 113
68000, 113
69000, 113
70000, 114
71000, 114
72000, 115
73000, 115
74000, 116
75000, 116
76000, 116
77000, 116
78000, 117
79000, 117
80000, 117
81000, 117
82000, 117
83000, 117
84000, 117
85000, 118
86000, 118
87000, 118
88000, 118
89000, 119
90000, 119
91000, 120
92000, 120
93000, 120
94000, 120
95000, 120
96000, 120
97000, 121
98000, 121
99000, 121
100000, 121
101000, 121
102000, 121
103000, 122
104000, 122
105000, 122
106000, 122
107000, 123
108000, 123
109000, 124
110000, 124
111000, 124
112000, 124
113000, 125
114000, 125
115000, 125
116000, 125
117000, 125
118000, 125
119000, 125
120000, 125
121000, 125
122000, 126
123000, 126
124000, 126
125000, 126
126000, 127
127000, 127
128000, 127
129000, 128
130000, 128
131000, 129
132000, 129
133000, 129
134000, 129
135000, 129
136000, 129
137000, 130
138000, 130
139000, 130
140000, 131
141000, 131
142000, 131
143000, 131
144000, 132
145000, 132
146000, 132
147000, 132
148000, 131
149000, 131
150000, 131
151000, 130
152000, 129
153000, 129
154000, 129
155000, 128
156000, 127
157000, 127
158000, 126
159000, 124
160000, 124
161000, 123
162000, 122
163000, 122
164000, 122
165000, 123
166000, 124
167000, 124
168000, 124
169000, 124
170000, 124
171000, 124
172000, 124
173000, 124
174000, 124
175000, 124
176000, 124
177000, 125
178000, 125
179000, 126
180000, 126
181000, 126
182000, 126
183000, 126
184000, 126
185000, 126
186000, 126
187000, 126
188000, 126
189000, 127
190000, 127
191000, 127
192000, 127
193000, 127
194000, 127
195000, 127
196000, 126
197000, 126
198000, 126
199000, 125
200000, 125
201000, 125
