"Elapsed Time", "Heartrate"
0, 0
1000, 0
2000, 0
3000, 82
4000, 81
5000, 81
6000, 79
7000, 79
8000, 78
9000, 78
10000, 78
11000, 79
12000, 81
13000, 83
14000, 83
15000, 88
16000, 88
17000, 89
18000, 90
19000, 90
20000, 90
21000, 89
22000, 89
23000, 87
24000, 87
25000, 87
26000, 85
27000, 84
28000, 84
29000, 83
30000, 84
31000, 84
32000, 84
33000, 84
34000, 85
35000, 85
36000, 85
37000, 85
38000, 86
39000, 86
40000, 86
41000, 86
42000, 87
43000, 87
44000, 87
45000, 87
46000, 88
47000, 88
48000, 89
49000, 90
50000, 91
51000, 91
52000, 91
53000, 90
54000, 90
55000, 89
56000, 86
57000, 86
58000, 84
59000, 82
60000, 82
61000, 81
62000, 81
63000, 83
64000, 85
65000, 85
66000, 87
67000, 89
68000, 91
69000, 91
70000, 92
71000, 93
72000, 94
73000, 96
74000, 97
75000, 97
76000, 97
77000, 97
78000, 97
79000, 95
80000, 95
81000, 94
82000, 93
83000, 92
84000, 92
85000, 94
86000, 94
87000, 96
88000, 99
89000, 100
90000, 100
91000, 98
92000, 98
93000, 98
94000, 94
95000, 91
96000, 91
97000, 87
98000, 87
99000, 87
100000, 87
101000, 87
102000, 89
103000, 89
104000, 89
105000, 89
106000, 89
107000, 88
108000, 88
109000, 87
110000, 86
111000, 86
112000, 86
113000, 86
114000, 87
115000, 89
116000, 89
117000, 91
118000, 91
119000, 91
120000, 91
121000, 92
122000, 93
123000, 94
124000, 94
125000, 94
126000, 93
127000, 93
128000, 94
129000, 94
130000, 94
131000, 94
132000, 94
133000, 94
134000, 95
135000, 95
136000, 97
137000, 98
138000, 100
139000, 100
140000, 100
141000, 101
142000, 101
143000, 102
144000, 103
145000, 103
146000, 103
147000, 104
148000, 104
149000, 104
150000, 103
151000, 102
152000, 101
153000, 100
154000, 100
155000, 100
156000, 100
157000, 100
158000, 101
159000, 104
160000, 105
161000, 107
162000, 108
163000, 109
164000, 109
165000, 109
166000, 109
167000, 109
168000, 109
169000, 109
170000, 109
171000, 109
172000, 109
173000, 110
174000, 110
175000, 111
176000, 111
177000, 112
178000, 112
179000, 112
180000, 113
181000, 113
182000, 113
183000, 113
184000, 113
185000, 113
186000, 113
187000, 112
188000, 112
189000, 112
190000, 112
191000, 113
192000, 113
193000, 113
194000, 113
195000, 113
196000, 113
197000, 113
198000, 113
199000, 113
200000, 113
201000, 113
