"Elapsed Time", "Heartrate"
0, 0
1000, 97
2000, 97
3000, 98
4000, 99
5000, 99
6000, 99
7000, 100
8000, 101
9000, 102
10000, 102
11000, 103
12000, 104
13000, 105
14000, 106
15000, 106
16000, 107
17000, 108
18000, 108
19000, 109
20000, 108
21000, 108
22000, 108
23000, 108
24000, 108
25000, 108
26000, 107
27000, 107
28000, 107
29000, 107
30000, 107
31000, 107
32000, 106
33000, 106
34000, 107
35000, 107
36000, 108
37000, 108
38000, 108
39000, 108
40000, 108
41000, 108
42000, 109
43000, 108
44000, 109
45000, 109
46000, 110
47000, 111
48000, 112
49000, 114
50000, 115
51000, 115
52000, 116
53000, 116
54000, 116
55000, 117
56000, 117
57000, 118
58000, 118
59000, 118
60000, 118
61000, 119
62000, 119
63000, 119
64000, 119
65000, 120
66000, 120
67000, 120
68000, 120
69000, 121
70000, 121
71000, 121
72000, 121
73000, 121
74000, 121
75000, 121
76000, 121
77000, 121
78000, 121
79000, 121
80000, 121
81000, 122
82000, 122
83000, 122
84000, 123
85000, 124
86000, 124
87000, 125
88000, 125
89000, 126
90000, 126
91000, 126
92000, 126
93000, 126
94000, 127
95000, 127
96000, 128
97000, 128
98000, 128
99000, 129
100000, 129
101000, 130
102000, 130
103000, 131
104000, 131
105000, 131
106000, 132
107000, 132
108000, 132
109000, 132
110000, 132
111000, 132
112000, 132
113000, 132
114000, 133
115000, 133
116000, 133
117000, 133
118000, 134
119000, 134
120000, 134
121000, 134
122000, 134
123000, 135
124000, 135
125000, 135
126000, 136
127000, 136
128000, 136
129000, 136
130000, 136
131000, 136
132000, 136
133000, 136
134000, 135
135000, 135
136000, 135
137000, 135
138000, 135
139000, 135
140000, 135
141000, 136
142000, 136
143000, 137
144000, 137
145000, 137
146000, 138
147000, 138
148000, 138
149000, 138
150000, 138
151000, 138
152000, 138
153000, 138
154000, 138
155000, 138
156000, 138
157000, 138
158000, 137
159000, 137
160000, 137
161000, 137
162000, 137
163000, 137
164000, 138
165000, 138
166000, 138
167000, 138
168000, 139
169000, 139
170000, 139
171000, 139
172000, 139
173000, 139
174000, 139
175000, 139
176000, 139
177000, 139
178000, 139
179000, 139
180000, 139
181000, 139
182000, 140
183000, 140
184000, 140
185000, 140
186000, 139
187000, 139
188000, 139
189000, 137
190000, 137
191000, 136
192000, 136
193000, 136
194000, 136
195000, 136
196000, 136
197000, 136
198000, 137
199000, 137
200000, 137
201000, 137
202000, 138
203000, 138
204000, 137
205000, 137
206000, 137
207000, 135
208000, 134
209000, 134
210000, 134
211000, 134
212000, 134
213000, 134
214000, 134
215000, 134
216000, 134
217000, 134
218000, 135
219000, 135
220000, 136
221000, 136
222000, 136
223000, 137
224000, 138
225000, 138
226000, 138
227000, 139
228000, 139
229000, 139
230000, 139
231000, 140
232000, 140
233000, 141
234000, 141
235000, 141
236000, 140
237000, 140
238000, 140
239000, 140
240000, 140
241000, 140
242000, 140
243000, 141
244000, 141
245000, 141
246000, 141
247000, 142
248000, 142
249000, 142
250000, 142
251000, 142
252000, 142
253000, 142
254000, 141
255000, 140
256000, 139
257000, 138
258000, 138
259000, 137
260000, 136
261000, 136
262000, 136
263000, 135
264000, 135
265000, 135
266000, 135
267000, 135
268000, 136
269000, 136
270000, 136
271000, 136
272000, 135
273000, 135
274000, 135
275000, 133
276000, 133
277000, 133
278000, 133
279000, 133
280000, 133
281000, 133
282000, 133
283000, 133
284000, 132
285000, 132
286000, 131
287000, 130
288000, 129
289000, 129
290000, 129
291000, 129
292000, 129
293000, 129
294000, 128
295000, 129
296000, 129
297000, 129
298000, 129
299000, 129
300000, 129
301000, 129
302000, 128
