"Elapsed Time", "Heartrate"
0, 0
1000, 88
2000, 88
3000, 88
4000, 88
5000, 88
6000, 89
7000, 91
8000, 91
9000, 92
10000, 93
11000, 93
12000, 93
13000, 93
14000, 93
15000, 93
16000, 93
17000, 93
18000, 92
19000, 92
20000, 92
21000, 92
22000, 91
23000, 92
24000, 92
25000, 92
26000, 92
27000, 93
28000, 93
29000, 93
30000, 93
31000, 93
32000, 93
33000, 94
34000, 94
35000, 95
36000, 95
37000, 96
38000, 96
39000, 96
40000, 96
41000, 96
42000, 97
43000, 97
44000, 97
45000, 98
46000, 99
47000, 101
48000, 101
49000, 103
50000, 105
51000, 107
52000, 108
53000, 109
54000, 110
55000, 110
56000, 110
57000, 111
58000, 111
59000, 111
60000, 111
61000, 111
62000, 111
63000, 111
64000, 111
65000, 111
66000, 111
67000, 111
68000, 111
69000, 111
70000, 110
71000, 110
72000, 110
73000, 109
74000, 109
75000, 108
76000, 107
77000, 105
78000, 104
79000, 102
80000, 102
81000, 100
82000, 99
83000, 98
84000, 97
85000, 97
86000, 97
87000, 96
88000, 96
89000, 97
90000, 99
91000, 101
92000, 102
93000, 102
94000, 104
95000, 106
96000, 107
97000, 108
98000, 109
99000, 110
100000, 111
101000, 111
102000, 112
103000, 112
104000, 112
105000, 111
106000, 110
107000, 109
108000, 108
109000, 108
110000, 109
111000, 109
112000, 109
113000, 109
114000, 109
115000, 109
116000, 108
117000, 108
118000, 106
119000, 106
120000, 106
121000, 104
122000, 102
123000, 101
124000, 100
125000, 100
126000, 100
127000, 103
128000, 104
129000, 106
130000, 107
131000, 107
132000, 108
133000, 109
134000, 109
135000, 109
136000, 110
137000, 109
138000, 110
139000, 109
140000, 108
141000, 108
142000, 108
143000, 108
144000, 108
145000, 108
146000, 108
147000, 108
148000, 108
149000, 107
150000, 107
151000, 107
152000, 107
153000, 107
154000, 107
155000, 110
156000, 115
157000, 115
158000, 119
159000, 123
160000, 123
161000, 125
162000, 126
163000, 127
