"Elapsed Time", "Heartrate"
0, 0
1000, 106
2000, 105
3000, 104
4000, 104
5000, 104
6000, 104
7000, 105
8000, 106
9000, 106
10000, 107
11000, 107
12000, 107
13000, 107
14000, 107
15000, 107
16000, 107
17000, 107
18000, 107
19000, 106
20000, 107
21000, 107
22000, 107
23000, 107
24000, 107
25000, 108
26000, 108
27000, 109
28000, 109
29000, 110
30000, 110
31000, 110
32000, 111
33000, 111
34000, 111
35000, 112
36000, 112
37000, 112
38000, 112
39000, 112
40000, 112
41000, 113
42000, 113
43000, 113
44000, 114
45000, 115
46000, 115
47000, 116
48000, 116
49000, 117
50000, 117
51000, 117
52000, 118
53000, 118
54000, 118
55000, 118
56000, 118
57000, 118
58000, 118
59000, 119
60000, 119
61000, 119
62000, 119
63000, 118
64000, 118
65000, 118
66000, 118
67000, 118
68000, 118
69000, 118
70000, 119
71000, 119
72000, 119
73000, 119
74000, 119
75000, 119
76000, 119
77000, 119
78000, 119
79000, 120
80000, 120
81000, 121
82000, 122
83000, 122
84000, 123
85000, 124
86000, 124
87000, 124
88000, 124
89000, 124
90000, 125
91000, 125
92000, 125
93000, 125
94000, 124
95000, 124
96000, 124
97000, 124
98000, 123
99000, 123
100000, 123
101000, 123
102000, 123
103000, 123
104000, 124
105000, 124
106000, 124
107000, 125
108000, 125
109000, 125
110000, 126
111000, 126
112000, 126
113000, 126
114000, 126
115000, 126
116000, 126
117000, 126
118000, 126
119000, 126
120000, 127
121000, 127
122000, 128
123000, 128
124000, 128
125000, 129
126000, 129
127000, 130
128000, 130
129000, 130
130000, 130
131000, 130
132000, 129
133000, 129
134000, 128
135000, 127
136000, 127
137000, 126
138000, 124
139000, 123
140000, 123
141000, 122
142000, 122
143000, 122
144000, 122
145000, 123
146000, 123
147000, 124
148000, 124
149000, 124
150000, 125
151000, 125
152000, 125
153000, 125
154000, 125
155000, 125
156000, 125
157000, 125
158000, 125
159000, 125
160000, 126
161000, 126
162000, 126
163000, 125
164000, 124
165000, 124
166000, 124
167000, 124
168000, 125
169000, 125
170000, 125
171000, 126
172000, 126
173000, 126
174000, 127
175000, 128
176000, 128
177000, 128
178000, 128
179000, 128
180000, 127
181000, 127
182000, 127
183000, 127
184000, 127
185000, 128
186000, 128
187000, 128
188000, 128
189000, 128
190000, 128
191000, 127
192000, 126
193000, 126
194000, 126
195000, 126
196000, 126
197000, 126
198000, 126
199000, 126
200000, 126
201000, 126
202000, 125
203000, 125
204000, 125
205000, 125
206000, 125
207000, 125
208000, 125
209000, 125
210000, 125
211000, 126
212000, 125
213000, 125
214000, 125
215000, 124
216000, 124
217000, 124
218000, 125
219000, 127
220000, 127
221000, 128
222000, 129
223000, 129
224000, 128
225000, 128
226000, 127
227000, 127
228000, 127
229000, 128
230000, 128
231000, 129
232000, 131
233000, 132
234000, 132
235000, 132
236000, 133
237000, 133
238000, 133
239000, 133
240000, 133
241000, 134
242000, 134
243000, 135
244000, 135
245000, 136
246000, 136
247000, 136
248000, 136
249000, 136
250000, 136
251000, 136
252000, 137
253000, 137
254000, 137
255000, 137
256000, 137
257000, 137
258000, 135
259000, 135
260000, 134
261000, 133
262000, 133
263000, 133
264000, 132
265000, 133
266000, 133
267000, 134
268000, 134
269000, 134
270000, 134
271000, 134
272000, 133
273000, 132
274000, 132
275000, 131
276000, 131
277000, 131
278000, 131
279000, 131
280000, 132
281000, 133
282000, 133
283000, 133
284000, 133
285000, 133
286000, 132
287000, 130
288000, 129
289000, 129
290000, 129
291000, 129
292000, 129
293000, 130
294000, 131
295000, 131
296000, 131
297000, 131
298000, 130
299000, 130
300000, 130
301000, 130
302000, 131
303000, 131
304000, 131
305000, 130
306000, 130
307000, 130
308000, 130
309000, 130
310000, 131
311000, 131
312000, 132
313000, 132
314000, 132
315000, 132
316000, 131
317000, 129
318000, 129
319000, 127
320000, 126
321000, 126
322000, 127
323000, 127
324000, 127
325000, 127
326000, 127
327000, 125
328000, 125
329000, 123
330000, 123
331000, 123
332000, 123
333000, 123
334000, 123
